month,number_of_tankers,gross_tonnage
2022-06,1979,83579.19
2022-07,2030,88810.53
2022-08,2070,88931.28
2022-09,2014,84467.76
2022-10,2121,88236.56
2022-11,2084,89559.33
2022-12,2096,86113.38
2023-01,2192,90149.04
2023-02,1968,78939.11
2023-03,2168,89483.63
2023-04,2149,87367.32
2023-05,2125,87118.91
2023-06,2012,82039.11
2023-07,2020,80372.33
2023-08,2003,82169.89
2023-09,1944,80749.32
2023-10,2071,86945.01
2023-11,2046,86616.23
2023-12,2065,82657.57
2024-01,2223,89147.21
2024-02,2097,80772.27
2024-03,2197,88871.71
2024-04,2072,81332.41
2024-05,2263,89904.93
2024-06,2089,79740.1
2024-07,2164,84223.03
2024-08,2189,83190.88
2024-09,2078,81089.78
2024-10,2147,85104.64
2024-11,2151,82567.13
2024-12,2132,83380.7
2025-01,2172,82577.57
2025-02,1900,68819.54
2025-03,2078,80083.12
2025-04,2056,77025.59
2025-05,2181,81774.61
2025-06,2158,80341.85
2025-07,2259,85113.18
2025-08,2269,85252.33
2025-09,2143,76644.9
2025-10,2259,81598.19
2025-11,2171,80902.67
2025-12,2248,86429.94
2026-01,2282,83182.72
2026-02,2084,72165.62
2026-03,2302,85291.88
2026-04,2085,73398.28
